name,price,单位
[六环以外]丰台泉湖西路与山湖路交汇处(青龙湖公园东门),320,万元/套
[五至六环]房山地铁良乡大学城站南约900米,41000,元/㎡
[六环以外]大兴庞各庄镇瓜乡路与永兴河交汇处,价格待定,
[三至四环]丰台六里桥西南角,77800,元/㎡
[五至六环]石景山西黄村地铁站北约300米,62766,元/㎡
[六环以外]香河东至西梨园农田南至爱晚大道、西至恒康路、北至西梨园村,12500,元/㎡
[五至六环]顺义中央别墅区后沙峪,458,万元/套起
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,40000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",70000,元/㎡起
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[五至六环]海淀清河小营桥东700米,82600,元/㎡
[五至六环]昌平地铁昌平线沙河地铁站南600米,660,万元/套起
[五至六环]大兴五环南海子公园西,65000,元/㎡
[四至五环]丰台白盆窑六圈路和樊羊路交汇处东南,67702,元/㎡
[六环以外]怀柔雁栖镇京加路雁栖桥西北500米处,价格待定,
[五至六环]通州东五环.京津高速第一出口.城市之光·东望营销中心,420,万元/套起
[六环以外]门头沟永定镇石龙西路与三石路交叉口向西200米南侧,740,万元/套起
"[五至六环]朝阳望京核心区,地铁14号线善各庄站",78148,元/㎡
[五至六环]海淀北部地区西北旺镇亮甲店村村东,58622,元/㎡
[五至六环]昌平京藏高速与北清路交汇东两公里,54197,元/㎡
[六环以外]丰台泉湖西路与山湖路交汇处(青龙湖公园东门),320,万元/套
[五至六环]房山地铁良乡大学城站南约900米,41000,元/㎡
[六环以外]大兴庞各庄镇瓜乡路与永兴河交汇处,价格待定,
[三至四环]丰台六里桥西南角,77800,元/㎡
[五至六环]石景山西黄村地铁站北约300米,62766,元/㎡
[六环以外]香河东至西梨园农田南至爱晚大道、西至恒康路、北至西梨园村,12500,元/㎡
[五至六环]顺义中央别墅区后沙峪,458,万元/套起
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,40000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",70000,元/㎡起
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[五至六环]海淀清河小营桥东700米,82600,元/㎡
[五至六环]昌平地铁昌平线沙河地铁站南600米,660,万元/套起
[五至六环]大兴五环南海子公园西,65000,元/㎡
[四至五环]丰台白盆窑六圈路和樊羊路交汇处东南,67702,元/㎡
[六环以外]怀柔雁栖镇京加路雁栖桥西北500米处,价格待定,
[五至六环]通州东五环.京津高速第一出口.城市之光·东望营销中心,420,万元/套起
[六环以外]门头沟永定镇石龙西路与三石路交叉口向西200米南侧,740,万元/套起
"[五至六环]朝阳望京核心区,地铁14号线善各庄站",78148,元/㎡
[五至六环]海淀北部地区西北旺镇亮甲店村村东,58622,元/㎡
[五至六环]昌平京藏高速与北清路交汇东两公里,54197,元/㎡
[六环以外]丰台泉湖西路与山湖路交汇处(青龙湖公园东门),320,万元/套
[五至六环]房山地铁良乡大学城站南约900米,41000,元/㎡
[六环以外]大兴庞各庄镇瓜乡路与永兴河交汇处,价格待定,
[三至四环]丰台六里桥西南角,77800,元/㎡
[五至六环]石景山西黄村地铁站北约300米,62766,元/㎡
[六环以外]香河东至西梨园农田南至爱晚大道、西至恒康路、北至西梨园村,12500,元/㎡
[五至六环]顺义中央别墅区后沙峪,458,万元/套起
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,40000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",70000,元/㎡起
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[五至六环]海淀清河小营桥东700米,82600,元/㎡
[五至六环]昌平地铁昌平线沙河地铁站南600米,660,万元/套起
[五至六环]大兴五环南海子公园西,65000,元/㎡
[四至五环]丰台白盆窑六圈路和樊羊路交汇处东南,67702,元/㎡
[六环以外]怀柔雁栖镇京加路雁栖桥西北500米处,价格待定,
[五至六环]通州东五环.京津高速第一出口.城市之光·东望营销中心,420,万元/套起
[六环以外]门头沟永定镇石龙西路与三石路交叉口向西200米南侧,740,万元/套起
"[五至六环]朝阳望京核心区,地铁14号线善各庄站",78148,元/㎡
[五至六环]海淀北部地区西北旺镇亮甲店村村东,58622,元/㎡
[五至六环]昌平京藏高速与北清路交汇东两公里,54197,元/㎡
[六环以外]丰台泉湖西路与山湖路交汇处(青龙湖公园东门),320,万元/套
[五至六环]房山地铁良乡大学城站南约900米,41000,元/㎡
[六环以外]大兴庞各庄镇瓜乡路与永兴河交汇处,价格待定,
[三至四环]丰台六里桥西南角,77800,元/㎡
[五至六环]石景山西黄村地铁站北约300米,62766,元/㎡
[六环以外]香河东至西梨园农田南至爱晚大道、西至恒康路、北至西梨园村,12500,元/㎡
[五至六环]顺义中央别墅区后沙峪,458,万元/套起
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,40000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",70000,元/㎡起
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[五至六环]海淀清河小营桥东700米,82600,元/㎡
[五至六环]昌平地铁昌平线沙河地铁站南600米,660,万元/套起
[五至六环]大兴五环南海子公园西,65000,元/㎡
[四至五环]丰台白盆窑六圈路和樊羊路交汇处东南,67702,元/㎡
[六环以外]怀柔雁栖镇京加路雁栖桥西北500米处,价格待定,
[五至六环]通州东五环.京津高速第一出口.城市之光·东望营销中心,420,万元/套起
[六环以外]门头沟永定镇石龙西路与三石路交叉口向西200米南侧,740,万元/套起
"[五至六环]朝阳望京核心区,地铁14号线善各庄站",78148,元/㎡
[五至六环]海淀北部地区西北旺镇亮甲店村村东,58622,元/㎡
[五至六环]昌平京藏高速与北清路交汇东两公里,54197,元/㎡
[六环以外]丰台泉湖西路与山湖路交汇处(青龙湖公园东门),320,万元/套
[五至六环]房山地铁良乡大学城站南约900米,41000,元/㎡
[六环以外]大兴庞各庄镇瓜乡路与永兴河交汇处,价格待定,
[三至四环]丰台六里桥西南角,77800,元/㎡
[五至六环]石景山西黄村地铁站北约300米,62766,元/㎡
[六环以外]香河东至西梨园农田南至爱晚大道、西至恒康路、北至西梨园村,12500,元/㎡
[五至六环]顺义中央别墅区后沙峪,458,万元/套起
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,40000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",70000,元/㎡起
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[五至六环]海淀清河小营桥东700米,82600,元/㎡
[五至六环]昌平地铁昌平线沙河地铁站南600米,660,万元/套起
[五至六环]大兴五环南海子公园西,65000,元/㎡
[四至五环]丰台白盆窑六圈路和樊羊路交汇处东南,67702,元/㎡
[六环以外]怀柔雁栖镇京加路雁栖桥西北500米处,价格待定,
[五至六环]通州东五环.京津高速第一出口.城市之光·东望营销中心,420,万元/套起
[六环以外]门头沟永定镇石龙西路与三石路交叉口向西200米南侧,740,万元/套起
"[五至六环]朝阳望京核心区,地铁14号线善各庄站",78148,元/㎡
[五至六环]海淀北部地区西北旺镇亮甲店村村东,58622,元/㎡
[五至六环]昌平京藏高速与北清路交汇东两公里,54197,元/㎡
[六环以外]丰台泉湖西路与山湖路交汇处(青龙湖公园东门),320,万元/套
[五至六环]房山地铁良乡大学城站南约900米,41000,元/㎡
[六环以外]大兴庞各庄镇瓜乡路与永兴河交汇处,价格待定,
[三至四环]丰台六里桥西南角,77800,元/㎡
[五至六环]石景山西黄村地铁站北约300米,62766,元/㎡
[六环以外]香河东至西梨园农田南至爱晚大道、西至恒康路、北至西梨园村,12500,元/㎡
[五至六环]顺义中央别墅区后沙峪,458,万元/套起
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,40000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",70000,元/㎡起
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[五至六环]海淀清河小营桥东700米,82600,元/㎡
[五至六环]昌平地铁昌平线沙河地铁站南600米,660,万元/套起
[五至六环]大兴五环南海子公园西,65000,元/㎡
[四至五环]丰台白盆窑六圈路和樊羊路交汇处东南,67702,元/㎡
[六环以外]怀柔雁栖镇京加路雁栖桥西北500米处,价格待定,
[五至六环]通州东五环.京津高速第一出口.城市之光·东望营销中心,420,万元/套起
[六环以外]门头沟永定镇石龙西路与三石路交叉口向西200米南侧,740,万元/套起
"[五至六环]朝阳望京核心区,地铁14号线善各庄站",78148,元/㎡
[五至六环]海淀北部地区西北旺镇亮甲店村村东,58622,元/㎡
[五至六环]昌平京藏高速与北清路交汇东两公里,54197,元/㎡
[六环以外]丰台泉湖西路与山湖路交汇处(青龙湖公园东门),320,万元/套
[五至六环]房山地铁良乡大学城站南约900米,41000,元/㎡
[六环以外]大兴庞各庄镇瓜乡路与永兴河交汇处,价格待定,
[三至四环]丰台六里桥西南角,77800,元/㎡
[五至六环]石景山西黄村地铁站北约300米,62766,元/㎡
[六环以外]香河东至西梨园农田南至爱晚大道、西至恒康路、北至西梨园村,12500,元/㎡
[五至六环]顺义中央别墅区后沙峪,458,万元/套起
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,40000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",70000,元/㎡起
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[五至六环]海淀清河小营桥东700米,82600,元/㎡
[五至六环]昌平地铁昌平线沙河地铁站南600米,660,万元/套起
[五至六环]大兴五环南海子公园西,65000,元/㎡
[四至五环]丰台白盆窑六圈路和樊羊路交汇处东南,67702,元/㎡
[六环以外]怀柔雁栖镇京加路雁栖桥西北500米处,价格待定,
[五至六环]通州东五环.京津高速第一出口.城市之光·东望营销中心,420,万元/套起
[六环以外]门头沟永定镇石龙西路与三石路交叉口向西200米南侧,740,万元/套起
"[五至六环]朝阳望京核心区,地铁14号线善各庄站",78148,元/㎡
[五至六环]海淀北部地区西北旺镇亮甲店村村东,58622,元/㎡
[五至六环]昌平京藏高速与北清路交汇东两公里,54197,元/㎡
[六环以外]丰台泉湖西路与山湖路交汇处(青龙湖公园东门),320,万元/套
[五至六环]房山地铁良乡大学城站南约900米,41000,元/㎡
[六环以外]大兴庞各庄镇瓜乡路与永兴河交汇处,价格待定,
[三至四环]丰台六里桥西南角,77800,元/㎡
[五至六环]石景山西黄村地铁站北约300米,62766,元/㎡
[六环以外]香河东至西梨园农田南至爱晚大道、西至恒康路、北至西梨园村,12500,元/㎡
[五至六环]顺义中央别墅区后沙峪,458,万元/套起
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,40000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",70000,元/㎡起
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[五至六环]海淀清河小营桥东700米,82600,元/㎡
[五至六环]昌平地铁昌平线沙河地铁站南600米,660,万元/套起
[五至六环]大兴五环南海子公园西,65000,元/㎡
[四至五环]丰台白盆窑六圈路和樊羊路交汇处东南,67702,元/㎡
[六环以外]怀柔雁栖镇京加路雁栖桥西北500米处,价格待定,
[五至六环]通州东五环.京津高速第一出口.城市之光·东望营销中心,420,万元/套起
[六环以外]门头沟永定镇石龙西路与三石路交叉口向西200米南侧,740,万元/套起
"[五至六环]朝阳望京核心区,地铁14号线善各庄站",78148,元/㎡
[五至六环]海淀北部地区西北旺镇亮甲店村村东,58622,元/㎡
[五至六环]昌平京藏高速与北清路交汇东两公里,54197,元/㎡
[六环以外]丰台泉湖西路与山湖路交汇处(青龙湖公园东门),320,万元/套
[五至六环]房山地铁良乡大学城站南约900米,41000,元/㎡
[六环以外]大兴庞各庄镇瓜乡路与永兴河交汇处,价格待定,
[三至四环]丰台六里桥西南角,77800,元/㎡
[五至六环]石景山西黄村地铁站北约300米,62766,元/㎡
[六环以外]香河东至西梨园农田南至爱晚大道、西至恒康路、北至西梨园村,12500,元/㎡
[五至六环]顺义中央别墅区后沙峪,458,万元/套起
[五至六环]通州宋庄镇荷香2号院首开香溪郡售楼处,40000,元/㎡
"[五至六环]通州玉桥西路与运河西大街交汇处,通州区青少年活动中心北侧",70000,元/㎡起
[五至六环]石景山阜石路与北辛安路交叉口南,63500,元/㎡
[五至六环]海淀清河小营桥东700米,82600,元/㎡
[五至六环]昌平地铁昌平线沙河地铁站南600米,660,万元/套起
[五至六环]大兴五环南海子公园西,65000,元/㎡
[四至五环]丰台白盆窑六圈路和樊羊路交汇处东南,67702,元/㎡
[六环以外]怀柔雁栖镇京加路雁栖桥西北500米处,价格待定,
